Unnamed: 0,ano,id_municipio,id_escola,localizacao,rede,atu_ei,atu_ef,atu_ef_anos_iniciais,atu_ef_anos_finais,atu_em,had_ei,had_ef,had_ef_anos_iniciais,had_ef_anos_finais,had_em,tdi_ef,tdi_ef_anos_iniciais,tdi_ef_anos_finais,tdi_em,taxa_aprovacao_ef,taxa_aprovacao_ef_anos_iniciais,taxa_aprovacao_ef_anos_finais,taxa_aprovacao_em,taxa_reprovacao_ef,taxa_reprovacao_ef_anos_iniciais,taxa_reprovacao_ef_anos_finais,taxa_reprovacao_em,taxa_abandono_ef,taxa_abandono_ef_anos_iniciais,taxa_abandono_ef_anos_finais,taxa_abandono_em,dsu_ei,dsu_ef,dsu_ef_anos_iniciais,dsu_ef_anos_finais,dsu_em
3100186,2012,3545308.0,35451186.0,urbana,municipal,21.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,
3100187,2012,3548500.0,35285717.0,urbana,privada,17.4,,,,,9.6,,,,,,,,,,,,,,,,,,,,,75.0,,,,
3100188,2012,3550308.0,35279249.0,urbana,municipal,9.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,78.6,,,,
3100189,2012,3550308.0,35158951.0,urbana,privada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100190,2012,3550308.0,35199321.0,urbana,privada,5.5,,,,,9.3,,,,,,,,,,,,,,,,,,,,,33.3,,,,
3100191,2012,4104600.0,41353897.0,urbana,municipal,16.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,,83.3,,,,
3100192,2012,4106902.0,41149459.0,urbana,privada,10.9,,,,,5.0,,,,,,,,,,,,,,,,,,,,,57.1,,,,
3100193,2012,4202404.0,42015316.0,urbana,privada,13.8,,,,,3.5,,,,,,,,,,,,,,,,,,,,,55.6,,,,
3100194,2012,4203600.0,42132797.0,urbana,municipal,18.4,,,,,8.5,,,,,,,,,,,,,,,,,,,,,61.5,,,,
3100195,2012,4208203.0,42352266.0,urbana,municipal,15.5,,,,,12.0,,,,,,,,,,,,,,,,,,,,,100.0,,,,
3100196,2012,4210100.0,42142407.0,urbana,estadual,,,,,22.7,,,,,8.5,,,,7.4,,,,93.8,,,,6.2,,,,0.0,,,,,91.7
3100197,2012,4309100.0,43193870.0,urbana,municipal,9.5,,,,,11.3,,,,,,,,,,,,,,,,,,,,,35.7,,,,
3100198,2012,5005608.0,50063804.0,urbana,municipal,13.5,,,,,10.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,
3100199,2012,5107040.0,51089238.0,urbana,municipal,14.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,50.0,,,,
3100200,2012,5107578.0,51094770.0,urbana,municipal,11.0,,,,,3.9,,,,,,,,,,,,,,,,,,,,,66.7,,,,
3100201,2012,2307601.0,23255161.0,urbana,municipal,,26.5,,26.5,,,4.0,,4.0,,41.1,,41.1,,69.4,,69.4,,19.4,,19.4,,11.2,,11.2,,,70.0,,70.0,
3100202,2012,2516201.0,25018299.0,urbana,estadual,,17.0,,17.0,,,4.5,,4.5,,73.5,,73.5,,52.1,,52.1,,23.3,,23.3,,24.6,,24.6,,,71.4,,71.4,
3100203,2012,2930006.0,29431697.0,rural,municipal,,18.3,,18.3,,,4.5,,4.5,,50.7,,50.7,,72.1,,72.1,,23.8,,23.8,,4.1,,4.1,,,92.3,,92.3,
3100204,2012,3106200.0,31003689.0,urbana,municipal,,32.1,,32.6,32.9,,4.5,,4.5,4.5,20.0,,20.0,34.2,83.5,,83.5,81.1,15.2,,15.2,7.6,1.3,,1.3,11.3,,100.0,,100.0,100.0
